[2026-04-12T09:28:09.172Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+3.94+%28foreground+color%3A+%23ffffff%2C+background+color%3A+%235b7dd4%2C+font+size%3A+12.0pt+%2816px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=28939&column=18 → 200 (57ms, 451B)
[2026-04-12T09:28:09.172Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+3.94+%28foreground+color%3A+%23ffffff%2C+background+color%3A+%235b7dd4%2C+font+size%3A+12.0pt+%2816px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=28190&column=11 → 200 (64ms, 393B)
[2026-04-12T09:28:09.342Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5&methodName=%3Cunknown%3E&arguments=&lineNumber=1&column= → 400 (5ms, 11B)
[2026-04-12T09:28:09.342Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Fnext%2Fdist%2Fclient%2Fcomponents%2Freact-dev-overlay%2Finternal%2Fhelpers%2Fconsole-error.js&methodName=createUnhandledError&arguments=&lineNumber=23&column=19 → 200 (6ms, 24B)
[2026-04-12T09:28:09.342Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Fnext%2Fdist%2Fclient%2Fcomponents%2Freact-dev-overlay%2Finternal%2Fhelpers%2Fuse-error-handler.js&methodName=handleClientError&arguments=&lineNumber=42&column=98 → 200 (6ms, 24B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Fnext%2Fdist%2Fclient%2Fcomponents%2Fglobals%2Fintercept-console-error.js&methodName=console.error&arguments=&lineNumber=53&column=56 → 200 (3ms, 24B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=logFailureMessage&arguments=&lineNumber=145&column=11 → 200 (3ms, 395B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=failureSummary&arguments=&lineNumber=151&column=5 → 200 (3ms, 463B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=eval&arguments=&lineNumber=285&column=7 → 200 (4ms, 381B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=eval&arguments=&lineNumber=284&column=18 → 200 (4ms, 378B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=logToConsole&arguments=&lineNumber=257&column=22 → 200 (4ms, 429B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=eval&arguments=&lineNumber=202&column=15 → 200 (4ms, 371B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=resolve&arguments=&lineNumber=29295&column=18 → 200 (8ms, 418B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=respond&arguments=&lineNumber=29252&column=13 → 200 (14ms, 361B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=v2Reporter&arguments=&lineNumber=29511&column=7 → 200 (22ms, 551B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=createReport&arguments=&lineNumber=29309&column=21 → 200 (29ms, 489B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=handleRunRules&arguments=&lineNumber=29270&column=11 → 200 (36ms, 447B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=29059&column=13 → 200 (42ms, 389B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=11582&column=13 → 200 (74ms, 377B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=28681&column=15 → 200 (55ms, 506B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=11582&column=13 → 200 (48ms, 377B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=28939&column=18 → 200 (61ms, 451B)
[2026-04-12T09:28:09.345Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Element+has+insufficient+color+contrast+of+4.48+%28foreground+color%3A+%235b7dd4%2C+background+color%3A+%2311182b%2C+font+size%3A+10.5pt+%2814px%29%2C+font+weight%3A+normal%29.+Expected+contrast+ratio+of+4.5%3A1&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=28190&column=11 → 200 (68ms, 393B)
[2026-04-12T09:28:09.428Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Fnext%2Fdist%2Fclient%2Fcomponents%2Freact-dev-overlay%2Finternal%2Fhelpers%2Fconsole-error.js&methodName=createUnhandledError&arguments=&lineNumber=23&column=19 → 200 (4ms, ?B)
[2026-04-12T09:28:09.428Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Fnext%2Fdist%2Fclient%2Fcomponents%2Freact-dev-overlay%2Finternal%2Fhelpers%2Fuse-error-handler.js&methodName=handleClientError&arguments=&lineNumber=42&column=98 → 200 (4ms, ?B)
[2026-04-12T09:28:09.428Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Fnext%2Fdist%2Fclient%2Fcomponents%2Fglobals%2Fintercept-console-error.js&methodName=console.error&arguments=&lineNumber=53&column=56 → 200 (5ms, ?B)
[2026-04-12T09:28:09.429Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=logFailureMessage&arguments=&lineNumber=145&column=11 → 200 (4ms, ?B)
[2026-04-12T09:28:09.429Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=failureSummary&arguments=&lineNumber=151&column=5 → 200 (4ms, ?B)
[2026-04-12T09:28:09.429Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=eval&arguments=&lineNumber=285&column=7 → 200 (5ms, ?B)
[2026-04-12T09:28:09.430Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=eval&arguments=&lineNumber=284&column=18 → 200 (4ms, ?B)
[2026-04-12T09:28:09.430Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=logToConsole&arguments=&lineNumber=257&column=22 → 200 (4ms, ?B)
[2026-04-12T09:28:09.430Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=eval&arguments=&lineNumber=202&column=15 → 200 (4ms, ?B)
[2026-04-12T09:28:09.430Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=resolve&arguments=&lineNumber=29295&column=18 → pending (?ms, ?B)
[2026-04-12T09:28:09.430Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=respond&arguments=&lineNumber=29252&column=13 → pending (?ms, ?B)
[2026-04-12T09:28:09.430Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=v2Reporter&arguments=&lineNumber=29511&column=7 → pending (?ms, ?B)
[2026-04-12T09:28:09.431Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=createReport&arguments=&lineNumber=29309&column=21 → pending (?ms, ?B)
[2026-04-12T09:28:09.432Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=handleRunRules&arguments=&lineNumber=29270&column=11 → pending (?ms, ?B)
[2026-04-12T09:28:09.432Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=29059&column=13 → pending (?ms, ?B)
[2026-04-12T09:28:09.432Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=11582&column=13 → pending (?ms, ?B)
[2026-04-12T09:28:09.432Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=28681&column=15 → pending (?ms, ?B)
[2026-04-12T09:28:09.432Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=11582&column=13 → pending (?ms, ?B)
[2026-04-12T09:28:09.432Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=28939&column=18 → pending (?ms, ?B)
[2026-04-12T09:28:09.432Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++Some+page+content+is+not+contained+by+landmarks&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Faxe-core%2Faxe.js&methodName=eval&arguments=&lineNumber=28190&column=11 → pending (?ms, ?B)
[2026-04-12T09:28:09.531Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++No+skip+link+target&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Fnext%2Fdist%2Fclient%2Fcomponents%2Freact-dev-overlay%2Finternal%2Fhelpers%2Fconsole-error.js&methodName=createUnhandledError&arguments=&lineNumber=23&column=19 → 200 (6ms, 24B)
[2026-04-12T09:28:09.531Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++No+skip+link+target&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Fnext%2Fdist%2Fclient%2Fcomponents%2Freact-dev-overlay%2Finternal%2Fhelpers%2Fuse-error-handler.js&methodName=handleClientError&arguments=&lineNumber=42&column=98 → 200 (6ms, 24B)
[2026-04-12T09:28:09.535Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++No+skip+link+target&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2Fnext%2Fdist%2Fclient%2Fcomponents%2Fglobals%2Fintercept-console-error.js&methodName=console.error&arguments=&lineNumber=53&column=56 → 200 (3ms, 24B)
[2026-04-12T09:28:09.535Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++No+skip+link+target&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=logFailureMessage&arguments=&lineNumber=145&column=11 → 200 (3ms, 395B)
[2026-04-12T09:28:09.535Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++No+skip+link+target&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=failureSummary&arguments=&lineNumber=151&column=5 → 200 (3ms, 463B)
[2026-04-12T09:28:09.535Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++No+skip+link+target&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=eval&arguments=&lineNumber=285&column=7 → 200 (3ms, 381B)
[2026-04-12T09:28:09.535Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Fix+any+of+the+following%3A%0A++No+skip+link+target&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40axe-core%2Freact%2Fdist%2Findex.mjs&methodName=eval&arguments=&lineNumber=284&column=18 → 200 (3ms, 378B)
